Country,CPI2016,Rank,Region,WB Code,World Bank CPIA,World Economic Forum EOS,Global Insight Country Risk Ratings,Bertelsmann Foundation Transformation Index,African Development Bank CPIA,IMD World Competitiveness Yearbook,Bertelsmann Foundation Sustainable Governance Index,World Justice Project Rule of Law Index,PRS International Country Risk Guide,Varities of Democracy Project,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,PERC Asia Risk Guide,Number of Sources,Std Error 2016,Lower CI,Upper CI,Min,Max,OECD,G20,BRICS,EU,Arab states
Myanmar,28,136,AP,MMR,35.0,23.0,22,20.0,,,,27.0,24.0,50.0,19.0,,,8,3.69,22,34,19,50,,,,,
Papua New Guinea,28,136,AP,PNG,35.0,,22,28.0,,,,,32.0,,19.0,,,5,3.01,23,32,19,35,,,,,
Kyrgyzstan,28,136,ECA,KGZ,35.0,23.0,22,32.0,,,,29.0,,21.0,,30.0,,7,2.08,24,31,21,35,,,,,
Lebanon,28,136,MENA,LBN,,23.0,22,20.0,,,,30.0,32.0,34.0,37.0,,,7,2.5,24,32,20,37,,,,,y
Nigeria,28,136,SSA,NGA,35.0,20.0,22,28.0,32.0,,,26.0,24.0,24.0,37.0,,,9,1.98,24,31,20,37,,,,,
Guinea,27,142,SSA,GIN,24.0,,22,36.0,26.0,,,,24.0,,,,,5,2.54,22,31,22,36,,,,,
Mauritania,27,142,SSA,MRT,35.0,15.0,22,32.0,29.0,,,,,,,,,5,3.62,21,33,15,35,,,,,y
Mozambique,27,142,SSA,MOZ,24.0,25.0,22,28.0,14.0,,,,32.0,34.0,37.0,,,8,2.57,23,31,14,37,,,,,
Nicaragua,26,145,AME,NIC,35.0,28.0,22,28.0,,,,26.0,24.0,,19.0,,,7,1.98,23,29,19,35,,,,,
Bangladesh,26,145,AP,BGD,24.0,17.0,22,24.0,,,,25.0,50.0,,19.0,,,7,4.13,19,33,17,50,,,,,
Cameroon,26,145,SSA,CMR,24.0,22.0,34,28.0,41.0,,,19.0,32.0,11.0,19.0,,,9,3.04,21,31,11,41,,,,,
Gambia,26,145,SSA,GMB,13.0,44.0,34,,5.0,,,,32.0,,,,,5,7.2,14,38,5,44,,,,,
Kenya,26,145,SSA,KEN,35.0,30.0,22,28.0,29.0,,,21.0,24.0,28.0,19.0,,,9,1.72,24,29,19,35,,,,,
Madagascar,26,145,SSA,MDG,24.0,19.0,34,32.0,14.0,,,23.0,32.0,,,,,7,2.88,21,30,14,34,,,,,
Tajikistan,25,151,ECA,TJK,24.0,48.0,22,16.0,,,,,,11.0,,28.0,,6,5.26,16,34,11,48,,,,,
Uganda,25,151,SSA,UGA,13.0,27.0,22,32.0,26.0,,,21.0,24.0,26.0,37.0,,,9,2.24,22,29,13,37,,,,,
Comoros,24,153,SSA,COM,24.0,,47,,2.0,,,,,,,,,3,12.81,3,45,2,47,,,,,y
Turkmenistan,22,154,ECA,TKM,,,22,20.0,,,,,,,19.0,25.0,,4,1.32,20,24,19,25,,,,,
Zimbabwe,22,154,SSA,ZWE,13.0,30.0,22,16.0,17.0,,,24.0,15.0,24.0,37.0,,,9,2.59,18,26,13,37,,,,,
Cambodia,21,156,AP,KHM,13.0,28.0,22,16.0,,,,15.0,,17.0,19.0,,37.0,8,2.82,16,26,13,37,,,,,
Uzbekistan,21,156,ECA,UZB,13.0,,22,20.0,,,,32.0,,16.0,19.0,25.0,,7,2.35,17,25,13,32,,,,,
The Democratic Republic of Congo,21,156,SSA,COD,13.0,20.0,22,20.0,32.0,,,,24.0,,19.0,,,7,2.13,18,25,13,32,,,,,
