Country Rank,Country/Territory,Country Code,Region,CPI 2015 Score,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
88,Algeria,DZA,MENA,36,5,1.850000023841858,31,42,33,39,,34.0,36.0,,,,,31.0,38.0,42.0,,
88,Egypt,EGY,MENA,36,6,2.4700000286102295,31,47,32,40,,47.0,32.0,,,,35.0,31.0,38.0,32.0,,
88,Indonesia,IDN,AP,36,8,3.390000104904175,17,50,30,42,,43.0,36.0,,37.0,,17.0,50.0,38.0,32.0,32.0,
88,Morocco,MAR,MENA,36,6,3.8499999046325684,22,47,30,42,,47.0,28.0,,,,22.0,41.0,38.0,42.0,,
88,Peru,PER,AME,36,7,3.049999952316284,24,45,31,41,,44.0,45.0,,30.0,,24.0,31.0,38.0,42.0,,
88,Suriname,SUR,AME,36,3,3.2100000381469727,31,42,31,41,,35.0,,,,,,31.0,,42.0,,
95,Armenia,ARM,ECA,35,5,2.9800000190734863,28,45,30,40,,45.0,28.0,,,,,31.0,,32.0,,37.0
95,Mali,MLI,SSA,35,6,1.8899999856948853,31,42,32,38,35.0,32.0,32.0,40.0,,,,31.0,,42.0,,
95,Philippines,PHL,AP,35,8,1.9199999570846558,23,41,32,38,,36.0,36.0,,33.0,,23.0,41.0,38.0,32.0,37.0,
98,Bolivia,BOL,AME,34,7,3.5799999237060547,20,47,28,40,47.0,25.0,36.0,,,,20.0,31.0,38.0,42.0,,
98,Djibouti,DJI,SSA,34,3,9.069999694824219,23,52,19,49,23.0,,,27.0,,,,,,52.0,,
98,Gabon,GAB,SSA,34,4,1.649999976158142,31,38,31,37,,36.0,,,,,,31.0,38.0,32.0,,
98,Niger,NER,SSA,34,5,4.159999847412109,21,47,27,41,35.0,,36.0,47.0,,,,21.0,,32.0,,
102,Dominican Republic,DOM,AME,33,6,2.630000114440918,24,42,29,37,,29.0,32.0,,,,24.0,31.0,38.0,42.0,,
102,Ethiopia,ETH,SSA,33,8,2.7300000190734863,22,42,29,37,35.0,42.0,23.0,42.0,,,32.0,31.0,38.0,22.0,,
102,Kosovo,LWI,ECA,33,3,2.190000057220459,29,36,29,37,35.0,,36.0,,,,,,,,,29.0
102,Moldova,MDA,ECA,33,8,2.880000114440918,16,42,28,38,35.0,30.0,40.0,,,,16.0,31.0,38.0,42.0,,31.0
106,Argentina,ARG,AME,32,7,1.840000033378601,25,38,29,35,,28.0,36.0,,25.0,,37.0,31.0,38.0,32.0,,
106,Belarus,BLR,ECA,32,6,4.369999885559082,21,52,25,39,,,28.0,,,,52.0,31.0,21.0,32.0,,26.0
106,Côte d´Ivoire,CIV,SSA,32,8,2.6500000953674316,22,46,28,36,35.0,46.0,28.0,32.0,,,26.0,31.0,38.0,22.0,,
106,Ecuador,ECU,AME,32,6,2.859999895095825,21,43,27,37,,43.0,32.0,,,,30.0,31.0,21.0,32.0,,
106,Togo,TGO,SSA,32,5,3.0399999618530273,23,42,27,37,23.0,,32.0,30.0,,,,31.0,,42.0,,
111,Honduras,HND,AME,31,7,4.119999885559082,17,45,24,38,35.0,45.0,36.0,,,,17.0,41.0,21.0,22.0,,
111,Malawi,MWI,SSA,31,8,2.4100000858306885,21,42,27,35,23.0,32.0,36.0,42.0,,,27.0,31.0,21.0,32.0,,
111,Mauritania,MRT,SSA,31,5,5.070000171661377,12,42,23,39,35.0,12.0,32.0,35.0,,,,,,42.0,,
111,Mexico,MEX,AME,31,8,3.0199999809265137,20,42,26,36,,33.0,28.0,,28.0,41.0,20.0,21.0,38.0,42.0,,
111,Mozambique,MOZ,SSA,31,7,1.9700000286102295,22,38,28,34,35.0,28.0,28.0,22.0,,,,31.0,38.0,32.0,,
111,Vietnam,VNM,AP,31,8,2.559999942779541,21,41,27,35,35.0,37.0,28.0,,,,36.0,41.0,21.0,22.0,31.0,
